#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#text1.csv replacements
ALLOW_REVOKATION_ON;Revocation of titles Allowed\n;Annulation des titres autorisée;Entzug gewährter Titel gestattet;;Revocación de títulos permitida;;;;;;;;;x
EVTDESC3284;My faithful vassal, [From.GetBestName] is rather honest, and has publicly spoken about my virtues. This has radicalized my vassals, where some agree and some do not.;Mon fidèle vassal, [From.GetBestName] est plutôt honnête et a publiquement vanté mes vertus. Cela a radicalisé mes vassaux. Ils ne sont pas tous d'accord.;Mein treuer Vasall [From.GetBestName] ist sehr aufrichtig und hat öffentlich über meine Tugenden gesprochen. Dies hat meine weiteren Vasallen in Unruhe versetzt, von denen einige der selben Meinung sind und andere nicht. ;;Mi fiel vasallo, [From.GetBestName] es bastante honesto y ha hablado públicamente sobre mis virtudes. Esto ha radicalizado a mis vasallos: unos están de acuerdo y otros no.;;;;;;;;;x
EVTOPTC10032;This was... fun?;C'était…divertissant ?;Das war… Spaß?;;Esto ha sido... ¿divertido?;;;;;;;;;x
#text8.csv replacements
EVTTOOLTIP100001;[Root.GetTitledFirstName] and [This.GetTitledFirstName] become rivals;[Root.GetTitledFirstName] et [This.GetTitledFirstName] sont devenus rivaux.;[Root.GetTitledFirstName] und [This.GetTitledFirstName] werden zu Rivalen;;[Root.GetTitledFirstName] y [This.GetTitledFirstName] se convierten en rivales;;;;;;;;;x
EVTDESC100201;I have seen how [From.GetTitledFirstName] handles swords, and it is not a pretty sight. Half of the time [From.GetSheHe] seems to forget which side is the sharp one! Should I laugh or should I cry at [From.GetTitledFirstName]'s incompetence with the sword? Now [From.GetTitledFirstName] seems to think I could teach [From.GetHerHim] all I know.;J'ai vu comment [From.GetTitledFirstName] manie l'épée et ce n'est pas joli à voir. La plupart du temps, [From.GetSheHe] semble oublier de quel côté se trouve le tranchant de son arme ! Je ne sais pas si je dois rire ou pleurer devant l'incompétence de [From.GetTitledFirstName]. Et à présent, [From.GetTitledFirstName] pense que je peux lui enseigner tout mon savoir.;Ich habe gesehen, wie [From.GetTitledFirstName] mit Schwertern hantiert, und es ist kein schöner Anblick. Die Hälfte der Zeit scheint [From.GetSheHe] zu vergessen, welche Seite die scharfe ist! Sollte ich über [From.GetTitledFirstName]s Unfähigkeit mit dem Schwert lachen oder weinen? Nun scheint [From.GetTitledFirstName] zu glauben, dass ich [From.GetHerHim] alles beibringen kann, was ich weiß.;;He visto cómo [From.GetTitledFirstName] blande la espada, y no es un espectáculo agradable. ¡La mitad del tiempo [From.GetSheHe] parece olvidar cuál es el lado afilado! ¿Debería reír o llorar por la incompetencia de [From.GetTitledFirstName] con la espada? Ahora [From.GetTitledFirstName] parece pensar que yo podría enseñarle todo lo que sé.;;;;;;;;;x
EVTDESC100214;'It will cost a large sum of money to repair these old buildings and even if they are repaired I wouldn't promise they would stand a siege. Tear them down, salvage as much material as you can, and build anew. It'll cost, and if you want my help, it'll cost a bit more.'\n[From.GetTitledFirstName] condemned the old buildings and my plans to reinforce them.;La réparation de ces anciennes bâtisses va coûter beaucoup d'argent et même rénovées, rien ne garantit qu'elles résisteront à un siège. Rasez-les, récupérez un maximum de matériaux et construisez de nouveaux bâtiments. Cela risque de coûter de l'argent et si vous avez besoin de mon aide, ça vous coûtera encore plus cher.\n[From.GetTitledFirstName] a encouragé la destruction des bâtisses et rejeté mon projet de les renforcer.;Es wird eine große Summe Geld kosten, diese alten Gebäude zu reparieren und selbst wenn sie repariert sind, könnte ich nicht versprechen, dass sie einer Belagerung standhalten. Reißt sie ab, rettet so viel Material wie möglich, und baut neu. Es wird kosten und wenn Ihr meine Hilfe wollt, wird es etwas mehr kosten.'\n[From.GetTitledFirstName] verurteilte die alten Gebäude und meinen Plan sie zu verstärken.;;Le costará una gran suma de dinero reparar estos edificios antiguos, e incluso si se reparan no me aseguran que resistan un asedio. Que sean derribados, recuperar tanto material como sea posible, y construirlos de nuevo. Va a costar, y si quieres mi ayuda, te va a costar un poco más. '\n[From.GetTitledFirstName] condenó a los edificios antiguos y mis planes para reforzarlos.;;;;;;;;;x
EVTDESC100451;'My liege, please listen to me! That [From.GetManWoman] you are so fond of is no more than a treacherous, despicable snake!'\n[From.GetTitledFirstName] tried to convince me to be more careful about my friends.;Mon Seigneur, je vous en conjure, écoutez-moi ! Cette personne que vous appréciez tant n'est rien d'autre qu'un serpent abject et malsain !'\n[From.GetTitledFirstName] me conseille d'être prudent dans le choix de mes amis.;Mein Lehnsherr, bitte hört auf mich! Diese Person, der Ihr so zugetan seid, ist nichts weiter als eine heimtückische, verräterische Schlange!'\n[From.GetTitledFirstName] versuchte mich davon zu überzeugen, dass ich vorsichtiger damit sein sollte, wer meine Freunde sind.;;¡Mi señor, por favor, escúchadme!  ¡Esa persona de la que estáis tan orgulloso no es más que una serpiente traicionera y despreciable! '\n [From.GetTitledFirstName] trató de convencerme de que tenga más cuidado con mis amigos.;;;;;;;;;x
EVTDESC100527;I confessed almost as soon as [From.GetTitledFirstName] started to question me about the poisoned wine. My rival did not suffer at all from the poisoning but many guest had fallen ill after they had drunk the poisoned wine.;J'ai avoué mon crime dès que [From.GetTitledFirstName] a commencé à m'interroger au sujet du vin empoisonné. Mon rival n'a absolument pas souffert suite à mon geste perfide mais plusieurs invités sont tombés malades après avoir bu un verre de ce vin frelaté.;Ich gestand beinahe augenblicklich, als [From.GetTitledFirstName] mich über den vergifteten Wein zu befragen begann. Mein Rivale erlitt nicht einmal ansatzweise eine Vergiftung, doch viele Gäste wurden krank, nachdem sie vom vergifteten Wein getrunken hatten.;;Confesé tan pronto como [From.GetTitledFirstName] me preguntó acerca del vino envenenado. Mi rival no sufrió la intoxicación, pero muchos invitados enfermaron tras beber el vino envenenado.;;;;;;;;;x
#EVTDESC100416;Your rival [From.GetBestName] is asking permission from [From.Liege.GetBestName] to duel you.;Mon rival [From.GetBestName] demande la permission à [From.Liege.GetBestName] de me provoquer en duel.;Your rival [From.GetBestName] is asking permission from [From.Liege.GetBestName] to duel you.;;Your rival [From.GetBestName] is asking permission from [From.Liege.GetBestName] to duel you.;;;;;;;;;x #here until it gets in the official patch
#EVTOPTA100416;I see.;Je vois .;Ich sehe.;;Ya veo.;;;;;;;;;x
#v1_09.csv replacements
TRADEPOST_FINISHED_LOG;A Trade Post has been built by the §Y$FAMILY$§! Family of §Y$REPUBLIC$§! in §Y$PROVINCE$§!;Un comptoir commercial a été construit en §Y$PROVINCE$§! par la famille §Y$FAMILY$§! de §Y$REPUBLIC$§!;Ein Handelsposten wurde von der §Y$FAMILY$§!-Familie von §Y$REPUBLIC$§! in §Y$PROVINCE$§! gebaut;;Se ha construido un puesto comercial por la Familia §Y$FAMILY$§! de §Y$REPUBLIC$§! en §Y$PROVINCE$§!;;;;;;;;;x
EVTOPTB_REP_304_tooltip;You concede defeat and control of the Trade Post is transferred to its new owners.;Vous vous avouez vaincu et les nouveaux propriétaires s’emparent du comptoir commercial.;Ihr räumt die Niederlage ein und die Kontrolle des Handelsposten geht an die neuen Besitzer über.;;Admites la derrota y el control del Puesto Comercial se transfiere a sus nuevos propietarios.;;;;;;;;;x
#v1_10.csv replacements
EVTDESC62300;Your invasion plans against [From.GetTitledName] are no longer possible. The invasion has failed before it even started...;Vos plans d’invasion contre [From.GetTitledName] ne sont plus possibles. L’invasion a échoué avant même qu’elle ne débute…;Eure Invasionspläne gegen [From.GetTitledName] sind nicht länger möglich. Die Invasion ist noch vor ihrem Beginn fehlgeschlagen…;;Tus planes de invasión contra [From.GetTitledName] ya no son posibles. La invasión ha fallado antes de comenzar...;;;;;;;;;x
EVTOPTA62300;[Root.Religion.GetRandomGodName] forgive!;Pardonne, [Root.Religion.GetRandomGodName] !;Möge [Root.Religion.GetRandomGodName] vergeben!;;¡Perdón [Root.Religion.GetRandomGodName]!;;;;;;;;;x
EVTDESC62310;You have waited too long to launch your invasion against [From.GetTitledName]! Disgruntled, the hopeful warriors who had flocked to your banner wander off looking for better opportunities.;Vous avez attendu trop longtemps avant de lancer l’invasion contre [From.GetTitledName] ! Mécontents, les guerriers pleins d’espoir qui s’étaient rangés sous votre étendard se dispersent à la recherche d’autres opportunités.;Ihr habt zu lange gewartet, um Eure Invasion gegen [From.GetTitledName] zu starten! Missmutig ziehen die wackeren Krieger, die sich unter eurem Banner versammelt hatten, auf der Suche nach besseren Gelegenheiten von dannen.;;¡Has esperado demasiado tiempo para lanzar tu invasión contra [From.GetTitledName]! Descontentos, los esperanzados guerreros que habían acudido a tu bandera vagan en busca de mejores oportunidades.;;;;;;;;;x
EVTOPTA62310;[Root.Religion.GetRandomGodName] have mercy!;Aie pitié, Dieu Corbeau !;Möge der Rabengott gnädig sein!;;¡Dios Cuervo ten piedad!;;;;;;;;;x
EVTDESC62320;Large numbers of faithful zealots have arrived from all corners of [Root.GetTitledName], hoping to join your great march against [From.GetTitledName]!;De nombreux carls aventureux sont arrivés depuis les quatre coins de la Scandinavie, dans l’espoir de prendre part à votre grande expédition contre [From.GetTitledName] !;Eine große Zahl abenteuerhungriger Huscarls kam aus allen Ecken Skandinaviens in der Hoffnung, Eurer großen Expedition gegen [From.GetTitledName] beitreten zu können!;;¡Un gran número de carls aventureros han llegado de todos los rincones de Escandinavia, con la esperanza de unirse a tu gran expedición contra [From.GetTitledName]!;;;;;;;;;x
EVTOPTA62320;For [Root.Religion.GetRandomGodName]!;Preparez la nourriture et les lits !;Bereitet Nahrung und Betten vor!;;¡Preparad comida y camas!;;;;;;;;;x
EVTDESC62321;A reknowned champion has arrived at your court with his warriors and followers, hoping to partake in your glorious invasion of [From.GetTitledName]!;Un héros de renom est arrivé à votre cour accompagné de ses housecarls et de ses partisans, dans l’espoir de prendre part à votre glorieuse invasion contre [From.GetTitledName] !;Ein berühmter Held ist an Eurem Hofe mit seinen Huscarls und seinem Gefolge angekommen, in der Hoffnung, an Eurer glorreichen Invasion von [From.GetTitledName] teilnehmen zu können!;;Un héroe de renombre ha llegado a la corte con sus guardaespaldas y seguidores, con la esperanza de participar en la gloriosa invasión de [From.GetTitledName]!;;;;;;;;;x
EVTOPTA62321;Make room at the camp!;Faites une place à la table d’honneur !;Macht Platz an der königlichen Tafel!;;¡Haced espacio en la mesa principal!;;;;;;;;;x
EVTDESC62901;In the name of [From.Religion.GetRandomGodName], I declare my intention to lead a host of the faithful into your lands. We shall prevail!\n\n[From.GetTitledName];Au nom du Père de tous, du Pendu, de l’Œil de flamme, je fais part de mes intentions d’envahir vos terres et s’assujettir votre peuple. Riche sera le festin des corbeaux !\n\n[From.GetTitledName];Im Namen des Allvaters, des Gehängten, des flammenden Auges, erkläre ich meine Absicht, in Euer Land einzumarschieren und Euer Volk zu unterwerfen. Mögen die Raben ein Festmahl haben!\n\n[From.GetTitledName];;En el nombre del Padre de Todos, el Colgado, el Ojo Llameante, declaro mi intención de invadir tus tierras y subyugar a tu pueblo. ¡El festín de los cuervos será abundante!\n\n[From.GetTitledName];;;;;;;;;x
EVTOPTA62901;We shall be prepared!;Nous devrions nous préparer !;Wir werden vorbereitet sein!;;¡Debemos estar preparados!;;;;;;;;;xEVTOPTA62300;[Root.Religion.GetRandomGodName] forgive!;Pardonne, Odin !;Möge Odin vergeben!;;¡Perdón Odín!;;;;;;;;;x
OFF_RELIGION;Proselyte;Religion offensive;Offensive Religion;;Religión Ofensiva;;;;;;;;;x
DEF_RELIGION;Bastion of the Faith;Religion défensive;Defensive Religion;;Religión Defensiva;;;;;;;;;x
DEF_RELIGION_HOME_TERRITORY;Ancestral Religion;Religion défensive dans le territoire d'origine ;Defensive Religion im Heimatgebiet;;Religión Defensiva en Territorio Base;;;;;;;;;x
EVTOPTA39652;Praised be [Root.Religion.GetRandomGodName]!;Gloire à [Root.Religion.GetRandomGodName] !;Gepriesen sei [Root.Religion.GetRandomGodName]!;;¡Alabado sea [Root.Religion.GetRandomGodName]!;;;;;;;;;x
OLD_RELIGION; ; ; ;; ;;;;;;;;;x
alert_at_peace_prestige_loss_name;Long Peace;Longue paix;Langer Frieden;;Larga Paz;;;;;;;;;x
alert_at_peace_prestige_loss_instant;§YYou have been at peace for too long!§!;§Yvous avez été en paix pendant trop longtemps !§!;§YIhr befindet Euch zu lange in Friedenszeiten!§!;;§YLlevas en paz demasiado tiempo!§!;;;;;;;;;x
alert_at_peace_prestige_loss_delayed;As a §Y$RELIGION$!, you lose §R$PRESTIGE$§! Authority every month for being at peace (and/or not raiding if you religion is able to).;En tant que §Y$RELIGION$ païenne§!, vous perdez §R$PRESTIGE$§! de prestige chaque mois où vous êtes en paix et n'attaquez pas.;Als ein §Y$RELIGION$-Heide§! verliert Ihr §R$PRESTIGE$§! Prestige in jedem Monat, in dem Ihr Euch im Frieden befindet und niemanden plündert.;;Como Pagano §Y$RELIGION$§!, pierdes §R$PRESTIGE$§! prestigio cada mes por estar en paz y no hacer ningún ataque.;;;;;;;;;x
#v2_00.csv replacements
EVTOPTC_SOA_4021;Engage [FromFrom.GetObjectPronoun] in theological debate;Une confrontation théologique s'impose;Verwickelt [From.GetObjectPronoun] in eine theologische Debatte;;Involucrar[From.GetObjectPronoun] en el debate teológico;;;;;;;;;x
EVTDESC_SoA_5000;I shall go on a pilgrimage to seek God's grace at one of the holy places of Christianity.;Je doit accomplir un pèlerinage et chercher la grâce de Dieu dans un des lieux saints du christianisme.;Ich begebe mich auf Pilgerfahrt, um Gottes Gnade an einer der heiligen Stätten der Christenheit zu suchen.  ;;Iré de peregrinación en busca de la gracia de Dios a uno de los lugares santos del cristianismo.;;;;;;;;;x
EVTOPTA_SoA_5000;I will start making travel plans.;Je vais commencer à préparer mon voyage.;Ich beginne die Planung meiner Reise.;;Comenzaré los planes del viaje.;;;;;;;;;x
EVTDESC_SoA_5011;There are several different holy places that you could visit on your pilgrimage. All of them are considered most sacred by the holy church, but a somewhat closer destination might mean a safer journey.;Il existe plusieurs lieux saints dans lesquels vous pouvez vous rendre en pèlerinage. Tous sont considérés comme très saints par l'Église, mais une destination plus proche rendrait votre voyage moins risqué.;Ihr könnt auf Eurer Pilgerfahrt mehrere heilige Stätten besuchen. Alle werden von der Heiligen Kirche als höchst heilig eingestuft, doch ein näher liegendes Ziel könnte eine sicherere Reise bedeuten. ;;Hay varios tipos de lugares santos para visitar durante la peregrinación. La Santa Iglesia los considera todos igualmente importantes, si bien un destino algo más cercano puede suponer un viaje más seguro.;;;;;;;;;x
EVTOPTA_SoA_5011;I will go to Jerusalem and see the wonders of the Holy Land.;J'irai à Jérusalem voir les merveilles de Terre sainte.;Ich fahre nach Jerusalem und will die Wunder des Heiligen Landes sehen.;;Iré a Jerusalén a ver las maravillas de la Tierra Santa.;;;;;;;;;x
EVTOPTB_SoA_5011;I will go to Constantinople and see its great cathedrals.;J'irai à Constantinople voir ses grandes cathédrales.;Ich fahre nach Konstantinopel, um die großen Kathedralen zu sehen.;;Iré a Constantinopla a ver sus grandes catedrales.;;;;;;;;;x
EVTOPTC_SoA_5011;I will go to Antioch, like the apostles.;J'irai à Antioche suivre les traces des apôtres.;Ich gehe nach Antiochia, wie die Apostel.;;Iré a Antioquía, como los apóstoles.;;;;;;;;;x
EVTOPTD_SoA_5011;I will travel to Aksum, where the Ark of the Covenant lies.;J'irai à Axoum, où se trouve l'Arche d'alliance.;Ich reise nach Aksum, wo die Bundeslade liegt;;Viajaré a Axum, donde se encuentra el Arca de la Alianza.;;;;;;;;;x
EVTDESC_SoA_5016;I am blessed to be living in [Root.Location.GetName], but I shall make my pilgrimage to the most holy of our Lord's places – Jerusalem!;J'ai la chance de vivre à [Root.Location.GetName] mais j'accomplirai mon pèlerinage dans le lieu le plus sacré de notre Seigneur, Jérusalem !;I bin gesegnet, in [Root.Location.GetName] leben zu dürfen, doch ich unternehme eine Pilgerfahrt zur allerheiligsten Stätte unseres Herrn - nach Jerusalem!;;Tengo la suerte de vivir en [Root.Location.GetName], pero iré de peregrinación al más sagrado de los lugares de nuestro Señor: ¡Jerusalén!;;;;;;;;;x
