#EVENTS;;;;;;;;;;;;;;x
VIETmisc.8000.desc;Last night [Root.GetSheHeOpp] appeared in my dream, and we laughed and danced and talked about nothing in particular. My heart was beating so fast, for I was so nervous yet excited that even when I woke up I could still feel it. It has been so long, so many years since we last met, yet even now I still think about [Root.GetHerHimOpp].;Hier soir, [Root.GetSheHeOpp] est apparu dans mon rêve, nous avons ri, dansé et parlé de rien en particulier. Mon cœur battait si vite, j'étais si nerveux et excité que même quand je me réveillais, je pouvais encore le sentir. Cela fait si longtemps, que de nombreuses années se sont écoulées depuis notre dernière rencontre, et pourtant, je pense toujours à [Root.GetHerHimOpp].;;;;;;;;;;x;x
VIETmisc.8029.desc;There are scholars who claim that one day, we will be able to make contraptions that allow us to fly like birds. Other thinkers say this is an impossibility.;Il y a des érudits qui prétendent qu'un jour, nous pourrons créer des engins nous permettant de voler comme des oiseaux. D'autres penseurs disent que c'est une impossibilité.;;;;;;;;;;x;x
VIETmisc.8029.a;If we can dream it, then it is possible.;Si on peut en rêver, alors c'est possible.;;;;;;;;;;;;x
VIETmisc.8029.b;Let us be realistic here - we are not birds.;Soyons réalistes ici - nous ne sommes pas des oiseaux.;;;;;;;;;;;;x
VIETmisc.8029.c;To do so would be an affront to the heavens.;Ce serait un affront au ciel.;;;;;;;;;;;;x
VIETmisc.8029.d;It is theoretically plausible - physically if we just....;C'est théoriquement plausible - physiquement si nous venons de...;;;;;;;;;;;;x
VIETmisc.8030.desc;Although you had a full night's of rest the quality of the sleep must not have been good, because you are feeling drowsy today.;Bien que vous ayez eu une nuit de repos complète, la qualité du sommeil ne devait pas être bonne, car vous vous sentez somnolent aujourd'hui.;;;;;;;;;;x;x
VIETmisc.8030.a;I have to stay awake!;Je dois rester éveillé !;;;;;;;;;;;;x
VIETmisc.8030.b;Maybe a quick nap will do me good.;Peut-être qu'une petite sieste me fera du bien.;;;;;;;;;;;;x
VIETmisc.8031.desc;The muscles in my shoulders feel sore all of a sudden.;Les muscles de mes épaules sont soudainement douloureux.;;;;;;;;;;x;x
VIETmisc.8031.a;This will be a problem. Ouch!;Ce sera un problème. Aie !;;;;;;;;;;;;x
VIETmisc.8032.desc;Today I met some important guests from a distant land, but in the middle of our conversation, I got a most terrible foot cramp! Everyone looked around as I held my foot, groaning in pain. My translator tried to explain to the foreigners what was going on, to which they seemed to understand and awkwardly try to comfort me.;Aujourd'hui, j'ai rencontré des invités importants d'un pays lointain, mais au milieu de notre conversation, j'ai eu une crampe de pied terrible ! Tout le monde a regardé autour de moi alors que je tenais mon pied, gémissant de douleur. Mon traducteur a essayé d'expliquer aux étrangers ce qui se passait, ce qu'ils semblaient comprendre et tentaient maladroitement de me réconforter.;;;;;;;;;;x;x
VIETmisc.8032.a;Why me?;Pourquoi moi ?;;;;;;;;;;;;x
VIETmisc.8033.desc;The traveling merchant shows me a so-called hourglass. It is not a particularly common tool, but it can measure time much more accurately than most contemporary methods. Perhaps I should buy one for personal use!;Le marchand ambulant me montre un soi-disant sablier. Ce n'est pas un outil particulièrement courant, mais il permet de mesurer le temps avec beaucoup plus de précision que la plupart des méthodes contemporaines. Je devrais peut-être en acheter un pour un usage personnel !;;;;;;;;;;x;x
VIETmisc.8033.a;And I shall!;Et je le ferai !;;;;;;;;;;;;x
VIETmisc.8033.b;I have no need.;Je n'en ai pas besoin;;;;;;;;;;;;x
VIETmisc.8034.desc;A farmer was digging in the countryside when he found small ruins from a bygone era. Though these ruins may be of interest to antiquitarians, not much was found, as looters already took most of its valuables over the centuries - except, that is, an ancient clay pot that still looks beautiful and exquisite despite its age, clearly the work of a skilled craftsman. The farmer offers it to you, his liege.;Un fermier était en train de creuser dans la campagne quand il a trouvé de petites ruines d'une époque révolue. Bien que ces ruines puissent intéresser les antiquaires, peu de choses ont été découvertes, les pilleurs ayant déjà emporté l'essentiel de ses objets de valeur au fil des siècles, à l'exception d'un ancien vase en argile qui reste beau et exquis malgré son âge, il a été clairement réalisé par un artisan qualifié. Le fermier vous l'offre à vous, son seigneur.;;;;;;;;;;x;x
VIETmisc.8034.a;Good, it'll make for a nice piece of decoration.;Bon, ça fera un beau morceau de décoration.;;;;;;;;;;;;x
VIETmisc.8034.b;Compensate the farmer for his efforts before taking it.;Compensez le fermier pour ses efforts avant de le prendre.;;;;;;;;;;;;x
VIETmisc.8034.c;Nay, the farmer can keep it since he found it.;Non, le fermier peut le garder puisqu'il l'a trouvé.;;;;;;;;;;;;x
VIETmisc.8035.desc;There is a traveling scholar staying at my court for a brief while. He owns many impressive instruments, many which he says would take him too long to explain the purpose of, but a seemingly simple magnifying glass piques your interest, for it has been crafted with care and looks quite nice. The scholar says he is willing to sell you it for a good price before he departs.;Il y a un érudit en voyage qui reste à la cour pendant un bref moment. Il possède de nombreux instruments impressionnants, dont il dit qu'il lui prendrait trop de temps à expliquer, mais une loupe apparemment simple suscite votre intérêt, car elle a été conçue avec soin et est très jolie. L'érudit dit qu'il est prêt à vous la vendre à un bon prix avant son départ.;;;;;;;;;;x;x
VIETmisc.8035.a;Sounds like a deal!;Cela ressemble à une affaire !;;;;;;;;;;;;x
VIETmisc.8035.b;That's fine, I just think it looks nice.;C'est bon, je pense juste que c'est beau.;;;;;;;;;;;;x
VIETmisc.8036.desc;I was bored one day and noticed a beautiful looking calliper inside a box. Few are as finely crafted and exquisite in quality, so I asked a maid about it. "Maybe long ago you could find calipers in every household across [Root.Location.GetName], but not anymore," the maid says, "Especially one of this quality." As a [Root.GetTitle], I can obviously keep it if I like it, she adds.;Un jour, je me suis ennuyé et j'ai remarqué un bel étrier dans une boîte. Peu sont aussi finement travaillés et d'une qualité exquise, alors j'ai demandé à une femme de ménage à ce sujet. "Peut-être que vous avez peut-être déjà trouvé des étriers dans tous les foyers de [Root.Location.GetName], mais plus maintenant", dit la femme de chambre, "Surtout de cette qualité." En tant que [Root.GetTitle], je peux évidemment les conserver si ça me plaît, ajoute-t-elle.;;;;;;;;;;x;x
VIETmisc.8036.a;Why not. It's beautiful.;Pourquoi pas. C'est beau.;;;;;;;;;;;;x
VIETmisc.8036.b;I am not a caliper collector.;Je suis pas un collectionneur d'étriers.;;;;;;;;;;;;x
VIETmisc.8037.desc;Chinese travelers are staying at my court. Leading them is the daughter of a Chinese official of the great [offmap_china.GetName]. I wanted to show her my manor or the nearby town, but she insists on exploring the local scenery and ancient ruins. She is adventurous, so say her traveling companions, who seem unaffected by her antics, in contrast with your scandalized courtiers.;Les voyageurs chinois restent à ma cour. La première est la fille d'un fonctionnaire chinois du grand [offmap_china.GetName]. Je voulais lui montrer mon manoir ou la ville voisine, mais elle insiste pour explorer les paysages locaux et les ruines antiques. Elle est aventureuse, disent ses compagnons de voyage, qui ne semblent pas affectés par ses singeries, contrairement à vos courtisans scandalisés.;;;;;;;;;;x;x
VIETmisc.8037.a;What a spirited young lady! I like her spark.;Quelle jeune femme fougueuse ! J'aime son étincelle.;;;;;;;;;;;;x
VIETmisc.8037.b;If she wishes it, I shall oblige.;Si elle le souhaite, je vais obliger.;;;;;;;;;;;;x
VIETmisc.8037.c;This is inappropriate! Women are weak, and it's dangerous out there.;Ça ne se fait pas! Les femmes sont faibles et c'est dangereux là-bas.;;;;;;;;;;;;x
VIETmisc.8037.d;She is under my protection, so I can't let her wander off like that.;Elle est sous ma protection, je ne peux donc pas la laisser s'égarer comme ça.;;;;;;;;;;;;x
VIETmisc.8038.tooltip; \n\nDespite the protests of some of your courtiers, you allow her to go as she wishes. She is clearly no dainty flower!; \n\nEn dépit des protestations de certains de vos courtisans, vous lui permettez de partir à sa guise. Elle n'est clairement pas une fleur délicate !;;;;;;;;;;x;x
VIETmisc.8038.desc;The young Chinese lady was most impressed with the local surroundings. She tells me her husband is an open-minded scholar and historian back in China, and the two of them enjoy discussing ancient cultures and peoples. She will definitely share her observations with her husband when she returns home, and he will undoubtedly write a glowing account of my realm!;La jeune femme chinoise a été très impressionnée par les environs. Elle me dit que son mari est un érudit et un historien à l'esprit ouvert, de retour en Chine, et qu'ils aiment discuter des cultures et des peuples antiques. Elle partagera certainement ses observations avec son mari à son retour à la maison et il écrira sans aucun doute un compte-rendu élogieux de mon royaume !;;;;;;;;;;x;x
VIETmisc.8038.a;I am flattered!;Je suis flatté !;;;;;;;;;;;;x
VIETmisc.8039.desc;As night fell, I found myself alone in my chambers. Suddenly - and I don't know how it started - I just began crying. I sobbed for what must have been hours, letting out all my pain and sadness. When it stopped, I felt a little better.;À la tombée de la nuit, je me suis retrouvé seul dans mes appartements. Tout à coup - et je ne sais pas comment cela a commencé - j'ai juste commencé à pleurer. J'ai sangloté pendant ce qui devait être des heures, laissant échapper toute ma douleur et ma tristesse. Quand ça s'est arrêté, je me suis senti un peu mieux.;;;;;;;;;;x;x
VIETmisc.8039.a;But things aren't over. Not yet.;Mais les choses ne sont pas finies. Pas encore.;;;;;;;;;;;;x
VIETmisc.8040.desc;I am drinking an excellently prepared herbal tea made using the horehound herb, said to help with digestion and breathing.;Je bois une tisane parfaitement préparée à base de l'herbe de marrube, censée aider à la digestion et à la respiration.;;;;;;;;;;x;x
VIETmisc.8040.a;Ah! What relaxing tea.;Ah ! Quel thé relaxant.;;;;;;;;;;;;x
VIETmisc.8041.desc;For centuries, the peoples of the Balkans have drank so-called mountain tea, made from the sweet tasting ironwort plant. Today I am drinking some to relax.;Pendant des siècles, les peuples des Balkans ont bu du soi-disant thé de montagne, fabriqué à partir de la plante au goût sucré d'agripaume. Aujourd'hui, j'en bois pour me détendre.;;;;;;;;;;x;x
VIETmisc.8041.a;How sweet!;C'est gentil !;;;;;;;;;;;;x
VIETmisc.8042.desc;Black tea, also known as red tea, is considered a precious commodity in this part of the world. I have been given several blocks of dried black tea as a gift. They are said to come from China so their quality should be very high, and I can present these to guests at various banquets and functions.;Le thé noir, également appelé thé rouge, est considéré comme un produit précieux dans cette partie du monde. On m'a offert plusieurs blocs de thé noir séché. On dit qu'ils viennent de Chine, leur qualité devrait donc être très élevée et je peux les présenter aux invités lors de divers banquets et réceptions.;;;;;;;;;;x;x
VIETmisc.8042.a;Very good!;Très bien !;;;;;;;;;;;;x
VIETmisc.8043.desc;I added too much salt to my food and it now tastes disgusting.;J'ai ajouté trop de sel à ma nourriture et celle-ci a maintenant un goût dégoûtant.;;;;;;;;;;x;x
VIETmisc.8043.a;Ugh!;Pouah !;;;;;;;;;;;;x
VIETmisc.8043.b;I will try to eat it.;Je vais essayer de la manger.;;;;;;;;;;;;x
VIETmisc.8044.desc;My cook asks me whether I prefer hard-boiled eggs or soft-boiled eggs.;Mon cuisinier me demande si je préfère les œufs durs ou les œufs à la coque.;;;;;;;;;;x;x
VIETmisc.8044.a;Soft.;A la coque.;;;;;;;;;;;;x
VIETmisc.8044.b;Hard.;Dur.;;;;;;;;;;;;x
VIETmisc.8044.c;Whatever my cook prefers.;Tout ce que mon cuisinier préfère.;;;;;;;;;;;;x
VIETmisc.8044.d;I want to abstain from eggs for a while.;Je veux m'abstenir d'œufs pendant un moment.;;;;;;;;;;;;x
VIETmisc.8045.desc;I am attending a ball when I met a most interesting fellow! He introduces himself as "an old sea captain and rover, now a shipowner and fat merchant." Cheerful and cordial, he offers you some advice: "Go down to the sea, stand a while. Watch the sun rise and set. Think on the distant lands across the water.";J'assiste à un bal quand j'ai rencontré un type très intéressant ! Il se présente comme "un ancien capitaine et un capitaine de la marine, maintenant un armateur et un gros marchand." Enthousiaste et cordial, il vous conseille : "Descendez dans la mer, restez debout un moment. Regarder le soleil se lever et se coucher. Pensez aux terres lointaines de l'eau. ";;;;;;;;;;x;x
VIETmisc.8045.a;The man is friendly, and the two of you end up talking for quite a while.;L'homme est sympathique et vous vous retrouvez à parler pendant un bon bout de temps.;;;;;;;;;;;;x
VIETmisc.8046.desc;While in the middle of reviewing some paperwork, the dust must have gotten to my nose and I sneezed! According to [Root.Culture.GetName] superstition, if one sneezes in the middle of work, it is a bad omen and one must interrupt the flow of work - such as by stopping to drink some water - to prevent any misfortune from happening.;Alors qu'elle était en train de passer en revue des documents, la poussière a dû me tomber sur le nez et j'ai éternué ! Selon la superstition de [Root.Culture.GetName], si on éternue au milieu d'un travail, c'est un mauvais présage et il faut interrompre le flux de travail - par exemple en cessant de boire de l'eau - pour empêcher tout malheur de se produire.;;;;;;;;;;x;x
VIETmisc.8046.a;Just superstition. Let's continue work.;Juste la superstition. Continuons le travail.;;;;;;;;;;;;x
VIETmisc.8046.b;It's silly, but just to be safe I'll drink some water.;C'est idiot, mais pour être en sécurité, je boirai de l'eau.;;;;;;;;;;;;x
VIETmisc.8046.c;Oh no! Get me some water, quick!;Oh non ! Donnez-moi de l'eau, vite !;;;;;;;;;;;;x
